Series_Title,Gross,Genre,Released_Year,Month
Remember the Titans,115654751,Biography,2000,5
Wo hu cang long,128078872,Action,2000,9
Todo sobre mi madre,8264530,Drama,1999,8
Cast Away,233632142,Adventure,2000,12
The Boondock Saints,25812,Action,1999,10
The Insider,28965197,Biography,1999,9
October Sky,32481825,Biography,1999,9
Shrek,267665011,Animation,2001,5
Titanic,659325379,Drama,1997,8
Hana-bi,233986,Crime,1997,9
Gattaca,12339633,Drama,1997,9
The Game,48323648,Action,1997,5
Breaking the Waves,4040691,Drama,1996,10
Ed Wood,5887457,Biography,1994,6
What's Eating Gilbert Grape,9170214,Drama,1993,6
Tombstone,56505065,Action,1993,2
The Sandlot,32416586,Comedy,1993,6
The Remains of the Day,22954968,Drama,1993,9
Naked,1769305,Comedy,1993,7
The Fugitive,183875760,Action,1993,1
A Bronx Tale,17266971,Crime,1993,11
Batman: Mask of the Phantasm,5617391,Animation,1993,4
Lat sau san taam,1,Action,1992,6
Night on Earth,2015810,Comedy,1991,1
La double vie de Véronique,1999955,Drama,1991,8
Boyz n the Hood,57504069,Crime,1991,7
Misery,61276872,Drama,1990,8
Awakenings,52096475,Biography,1990,2
Majo no takkyûbin,1,Animation,1989,9
Glory,26830000,Biography,1989,3
Dip huet seung hung,1,Action,1989,4
Back to the Future Part II,118500000,Adventure,1989,10
Mississippi Burning,34603943,Crime,1988,7
Predator,59735548,Action,1987,12
Evil Dead II,5923044,Action,1987,9
Ferris Bueller's Day Off,70136369,Comedy,1986,6
Down by Law,1436000,Comedy,1986,3
The Goonies,61503218,Adventure,1985,4
The Color Purple,98467863,Drama,1985,7
The Breakfast Club,45875171,Comedy,1985,4
The Killing Fields,34700291,Biography,1984,5
Ghostbusters,238632124,Action,1984,5
The Right Stuff,21500000,Adventure,1983,6
The King of Comedy,2500000,Comedy,1982,8
E.T. the Extra-Terrestrial,435110554,Family,1982,1
Kramer vs. Kramer,106260000,Drama,1979,9
Days of Heaven,1,Drama,1978,12
The Outlaw Josey Wales,31800000,Western,1976,4
The Man Who Would Be King,1,Adventure,1975,8
The Conversation,4420000,Drama,1974,10
La planète sauvage,193817,Animation,1973,6
The Day of the Jackal,16056255,Crime,1973,6
Badlands,1,Action,1973,3
Cabaret,42765000,Drama,1972,9
Willy Wonka & the Chocolate Factory,4000000,Family,1971,7
Midnight Cowboy,44785053,Drama,1969,11
Wait Until Dark,17550741,Thriller,1967,9
Guess Who's Coming to Dinner,56700000,Comedy,1967,4
Bonnie and Clyde,1,Action,1967,11
My Fair Lady,72000000,Drama,1964,9
Mary Poppins,102272727,Comedy,1964,1
The Longest Day,39100000,Action,1962,11
Jules et Jim,1,Drama,1962,7
The Innocents,2616000,Horror,1961,4
À bout de souffle,336705,Crime,1960,11
Red River,1,Action,1948,9
Key Largo,1,Action,1948,9
To Have and Have Not,1,Adventure,1944,8
Shadow of a Doubt,1,Film-Noir,1943,2
Stagecoach,1,Adventure,1939,4
The Lady Vanishes,1,Mystery,1938,3
Bringing Up Baby,1,Comedy,1938,11
Bride of Frankenstein,4360000,Drama,1935,1
Duck Soup,1,Comedy,1933,7
Scarface: The Shame of the Nation,1,Action,1932,3
Frankenstein,1,Drama,1931,9
Roma,1,Drama,2018,1
God's Own Country,335609,Drama,2017,5
Deadpool 2,324591735,Action,2018,11
Wind River,33800859,Crime,2017,11
Get Out,176040665,Horror,2017,5
Mission: Impossible - Fallout,220159104,Action,2018,12
En man som heter Ove,3358518,Comedy,2015,11
What We Do in the Shadows,3333000,Comedy,2014,6
Omoide no Mânî,765127,Animation,2014,8
The Theory of Everything,35893537,Biography,2014,8
Kingsman: The Secret Service,128261724,Action,2014,2
The Fault in Our Stars,124872350,Drama,2014,10
Me and Earl and the Dying Girl,6743776,Comedy,2015,7
Birdman or (The Unexpected Virtue of Ignorance),42340598,Comedy,2014,12
La vie d'Adèle,2199675,Drama,2013,8
Kai po che!,1122527,Drama,2013,4
The Broken Circle Breakdown,175058,Drama,2012,2
Captain America: The Winter Soldier,259766572,Action,2014,10
Rockstar,985912,Drama,2011,4
Nebraska,17654912,Adventure,2013,9
Wreck-It Ralph,189422889,Animation,2012,10
Le Petit Prince,1339152,Animation,2015,5
Detachment,71177,Drama,2011,6
Midnight in Paris,56816662,Comedy,2011,12
The Lego Movie,257760692,Animation,2014,12
Gravity,274092705,Drama,2013,10
Star Trek Into Darkness,228778661,Action,2013,10
Beasts of No Nation,83861,Drama,2015,2
The Social Network,96962694,Biography,2010,9
X: First Class,146408305,Action,2011,5
The Hangover,277322503,Comedy,2009,2
Skyfall,304360277,Action,2012,10
Silver Linings Playbook,132092958,Comedy,2012,10
Argo,136025503,Biography,2012,9
(500) Days of Summer,32391374,Comedy,2009,1
Harry Potter and the Deathly Hallows: Part 1,295983305,Adventure,2010,3
Gake no ue no Ponyo,15090400,Animation,2008,6
Frost/Nixon,18593156,Biography,2008,5
Papurika,881302,Animation,2006,4
Changeling,35739802,Biography,2008,4
Flipped,1752214,Comedy,2010,5
Toki o kakeru shôjo,1,Animation,2006,8
Death Note: Desu nôto,1,Crime,2006,8
This Is England,327919,Crime,2006,9
Ex Machina,25442958,Drama,2014,2
Efter brylluppet,412544,Drama,2006,5
The Last King of Scotland,17605861,Biography,2006,4
Zodiac,33080084,Crime,2007,6
Lucky Number Slevin,22494487,Action,2006,4
Joyeux Noël,1054361,Drama,2005,7
Control,871577,Biography,2007,10
Tangled,200821936,Animation,2010,12
Zwartboek,4398392,Drama,2006,5
Brokeback Mountain,83043761,Drama,2005,12
3:10 to Yuma,53606916,Action,2007,4
Crash,54580300,Crime,2004,10
Kung fu,17108591,Action,2004,9
The Bourne Supremacy,176241941,Action,2004,7
The Machinist,1082715,Drama,2004,7
Ray,75331600,Biography,2004,8
Lost in Translation,44585453,Comedy,2003,10
Harry Potter and the Goblet of Fire,290013036,Adventure,2005,6
Man on Fire,77911774,Action,2004,11
Coraline,75286229,Animation,2009,1
The Last Samurai,111110575,Action,2003,1
The Magdalene Sisters,4890878,Drama,2002,5
Good Bye Lenin!,4064200,Comedy,2003,2
In America,15539266,Drama,2002,8
I Am Sam,40311852,Drama,2001,10
Adaptation.,22245861,Comedy,2002,3
Black Hawk Down,108638745,Drama,2001,8
Road to Perdition,104454762,Crime,2002,4
Das Experiment,141072,Drama,2001,4
Billy Elliot,21995263,Drama,2000,8
Hedwig and the Angry Inch,3029081,Comedy,2001,2
Ocean's Eleven,183417150,Crime,2001,5
Vampire Hunter D: Bloodlust,151086,Animation,2000,9
"O Brother, Where Art Thou?",45512588,Adventure,2000,9
Interstate 60: Episodes of the Road,1,Adventure,2002,6
"South Park: Bigger, Longer & Uncut",52037603,Animation,1999,10
Office Space,10824921,Comedy,1999,12
Happiness,2807390,Comedy,1998,6
Training Day,76631907,Crime,2001,12
Rushmore,17105219,Comedy,1998,8
Abre los ojos,368234,Drama,1997,4
Being John Malkovich,22858926,Comedy,1999,10
As Good as It Gets,148478011,Comedy,1997,9
The Fifth Element,63540020,Action,1997,4
Le dîner de cons,4065116,Comedy,1998,10
Donnie Brasco,41909762,Biography,1997,6
Shine,35811509,Biography,1996,3
Primal Fear,56116183,Crime,1996,12
Hamlet,4414535,Drama,1996,4
A Little Princess,10019307,Drama,1995,10
Do lok tin si,1,Comedy,1995,8
Il postino,21848932,Biography,1994,11
Clerks,3151130,Comedy,1994,12
Short Cuts,6110979,Comedy,1993,11
Philadelphia,77324422,Drama,1993,12
The Muppet Christmas Carol,27281507,Comedy,1992,4
Malcolm X,48169908,Biography,1992,1
The Last of the Mohicans,75505856,Action,1992,11
Kurenai no buta,1,Animation,1992,9
Glengarry Glen Ross,10725228,Crime,1992,2
A Few Good Men,141340178,Drama,1992,9
Fried Green Tomatoes,82418501,Drama,1991,8
Barton Fink,6153939,Comedy,1991,7
Miller's Crossing,5080409,Crime,1990,8
Who Framed Roger Rabbit,156452370,Animation,1988,11
Spoorloos,1,Mystery,1988,1
Withnail & I,1544889,Comedy,1987,2
The Last Emperor,43984230,Biography,1987,3
Empire of the Sun,22238696,Action,1987,6
Der Name der Rose,7153487,Crime,1986,4
Blue Velvet,8551228,Drama,1986,9
The Purple Rose of Cairo,10631333,Comedy,1985,3
After Hours,10600000,Comedy,1985,1
Zelig,11798616,Comedy,1983,11
The Verdict,54000000,Drama,1982,4
Star Trek II: The Wrath of Khan,78912963,Action,1982,1
First Blood,47212904,Action,1982,12
Ordinary People,54800000,Drama,1980,2
Airplane!,83400000,Comedy,1980,10
Rupan sansei: Kariosutoro no shiro,1,Animation,1979,8
Halloween,47000000,Horror,1978,12
Le locataire,1924733,Drama,1976,3
Love and Death,1,Comedy,1975,7
The Taking of Pelham One Two Three,1,Action,1974,4
Blazing Saddles,119500000,Comedy,1974,1
Serpico,29800000,Biography,1973,11
Enter the Dragon,25000000,Action,1973,11
Deliverance,7056013,Adventure,1972,11
The French Connection,15630710,Action,1971,8
Dirty Harry,35900000,Action,1971,7
Where Eagles Dare,1,Action,1968,6
The Odd Couple,44527234,Comedy,1968,11
The Dirty Dozen,45300000,Action,1967,8
Belle de jour,26331,Drama,1967,9
A Man for All Seasons,28350000,Biography,1966,7
Repulsion,1,Drama,1965,9
Zulu,1,Drama,1964,11
Goldfinger,51081062,Action,1964,11
The Birds,11403529,Drama,1963,4
Cape Fear,1,Drama,1962,1
Peeping Tom,83957,Drama,1960,4
The Magnificent Seven,4905000,Action,1960,4
Les yeux sans visage,52709,Drama,1960,8
Invasion of the Body Snatchers,1,Drama,1956,10
Rebel Without a Cause,1,Drama,1955,6
The Ladykillers,1,Comedy,1955,5
Sabrina,1,Comedy,1954,6
The Quiet Man,10550000,Comedy,1952,7
The Day the Earth Stood Still,1,Drama,1951,11
The African Queen,536118,Adventure,1951,6
Gilda,1,Drama,1946,3
Fantasia,76408097,Animation,1940,6
The Invisible Man,1,Horror,1933,8
Dark Waters,1,Biography,2019,11
Searching,26020957,Drama,2018,8
Once Upon a Time... in Hollywood,142502728,Comedy,2019,2
Nelyubov,566356,Drama,2017,4
The Florida Project,5904366,Drama,2017,8
Just Mercy,1,Biography,2019,10
Gifted,24801212,Drama,2017,9
The Peanut Butter Falcon,13122642,Adventure,2019,11
Victoria,1,Crime,2015,12
Mustang,845464,Drama,2015,4
Guardians of the Galaxy Vol. 2,389813101,Action,2017,2
Baby Driver,107825862,Action,2017,9
Only the Brave,18340051,Action,2017,3
Bridge of Spies,72313754,Drama,2015,4
Incredibles 2,608581744,Animation,2018,6
Moana,248757044,Animation,2016,10
Sicario,46889293,Action,2015,4
Creed,109767581,Drama,2015,3
Leviafan,1092800,Crime,2014,8
Hell or High Water,26862450,Action,2016,9
Philomena,37707719,Biography,2013,1
Dawn of the Planet of the Apes,208545589,Action,2014,4
El cuerpo,1,Mystery,2012,5
Serbuan maut,4105123,Action,2011,8
End of Watch,41003371,Action,2012,10
Kari-gurashi no Arietti,19202743,Animation,2010,6
A Star Is Born,215288866,Drama,2018,8
True Grit,171243005,Drama,2010,9
Hævnen,1008098,Drama,2010,10
Despicable Me,251513985,Animation,2010,11
50/50,35014192,Comedy,2011,4
Kick-Ass,48071303,Action,2010,8
Celda 211,1,Action,2009,9
Moneyball,75605492,Biography,2011,12
La piel que habito,3185812,Drama,2011,8
Zombieland,75590286,Adventure,2009,3
Die Welle,1,Drama,2008,11
Sherlock Holmes,209028679,Action,2009,11
The Blind Side,255959475,Biography,2009,12
The Visitor,9422422,Drama,2007,5
Seven Pounds,69951824,Drama,2008,8
Eastern Promises,17114882,Action,2007,3
Stardust,38634938,Adventure,2007,9
The Secret of Kells,686383,Animation,2009,4
Inside Man,88513495,Crime,2006,8
Gone Baby Gone,20300218,Crime,2007,8
La Vie En Rose,10301706,Biography,2007,5
Huo Yuan Jia,24633730,Action,2006,7
The Illusionist,39868642,Drama,2006,2
Dead Man's Shoes,6013,Crime,2004,10
Harry Potter and the Half-Blood Prince,301959197,Action,2009,4
300,210614939,Action,2006,8
Match Point,23089926,Drama,2005,5
Watchmen,107509799,Action,2009,4
Lord of War,24149632,Action,2005,1
Saw,56000369,Horror,2004,7
"Synecdoche, New York",3081925,Drama,2008,12
Mysterious Skin,697181,Drama,2004,7
Jeux d'enfants,548707,Comedy,2003,11
Un long dimanche de fiançailles,6167817,Drama,2004,7
The Station Agent,5739376,Comedy,2003,9
21 Grams,16290476,Crime,2003,11
Boksuneun naui geot,45289,Crime,2002,10
Finding Neverland,51680613,Biography,2004,1
25th Hour,13060843,Drama,2002,4
The Butterfly Effect,57938693,Drama,2004,2
28 Days Later...,45064915,Drama,2002,9
Batoru rowaiaru,1,Action,2000,6
The Royal Tenenbaums,52364010,Comedy,2001,9
Y tu mamá también,13622333,Drama,2001,8
Harry Potter and the Sorcerer's Stone,317575550,Adventure,2001,4
The Others,96522687,Horror,2001,10
Blow,52990775,Biography,2001,10
Enemy at the Gates,51401758,Drama,2001,9
Minority Report,132072926,Action,2002,9
The Hurricane,50668906,Biography,1999,10
American Psycho,15070285,Comedy,2000,2
Lola rennt,7267585,Crime,1998,10
The Thin Red Line,36400491,Drama,1998,3
Mulan,120620254,Animation,1998,2
Fear and Loathing in Las Vegas,10680275,Adventure,1998,11
Funny Games,1,Crime,1997,10
Dark City,14378331,Mystery,1998,5
Sleepers,49100000,Crime,1996,1
Lost Highway,3796699,Mystery,1997,10
Sense and Sensibility,43182776,Drama,1995,4
Die Hard: With a Vengeance,100012499,Action,1995,3
Dead Man,1037847,Adventure,1995,11
The Bridges of Madison County,71516617,Drama,1995,9
Apollo 13,173837933,Adventure,1995,8
Trois couleurs: Blanc,1464625,Comedy,1994,7
Falling Down,40903593,Action,1993,3
Dazed and Confused,7993039,Comedy,1993,4
My Cousin Vinny,52929168,Comedy,1992,2
Omohide poro poro,453243,Animation,1991,8
Delicatessen,1794187,Comedy,1991,10
Home Alone,285761243,Comedy,1990,6
The Godfather: Part III,66666062,Crime,1990,4
When Harry Met Sally...,92823600,Comedy,1989,5
The Little Mermaid,111543479,Animation,1989,7
The Naked Gun: From the Files of Police Squad!,78756177,Comedy,1988,11
"Planes, Trains & Automobiles",49530280,Comedy,1987,2
Lethal Weapon,65207127,Action,1987,2
Blood Simple,2150000,Crime,1984,2
On Golden Pond,119285432,Drama,1981,9
Mad Max 2,12465371,Action,1981,12
The Warriors,22490039,Action,1979,9
The Muppet Movie,76657000,Adventure,1979,7
Escape from Alcatraz,43000000,Action,1979,9
Watership Down,1,Animation,1978,4
Midnight Express,35000000,Biography,1978,9
Close Encounters of the Third Kind,132088635,Drama,1977,7
The Long Goodbye,959000,Comedy,1973,11
Giù la testa,696690,Drama,1971,2
Kelly's Heroes,1378435,Adventure,1970,3
The Jungle Book,141843612,Animation,1967,10
Blowup,1,Drama,1966,8
A Hard Day's Night,13780024,Comedy,1964,1
Breakfast at Tiffany's,1,Comedy,1961,7
Giant,1,Drama,1956,11
From Here to Eternity,30500000,Drama,1953,5
Lifeboat,1,Drama,1944,4
The 39 Steps,1,Crime,1935,8
